	NAME	LATITUDE	LONGITUDE
121	ACADEMY OF OUR LADY OF MERCY - LAURALTON HALL	41.222745551	-73.065220885
122	ADELBROOK	41.600567583	-72.665248925
123	ASSUMPTION SCHOOL	41.349288223	-73.079610076
124	BOULDER KNOLL MONTESSORI SCHOOL	41.471383309	-72.881298344
125	CALVIN HILL DAYCARE  CTR  & KLF KINDERGARTEN	41.328219056	-72.920902369
126	CCCD - CONNECTICUT  CTR  FOR CHILD DEVELOPMENT	41.213924746	-73.074558909
127	CEDARHURST SCHOOL	41.335162848	-72.918682537
128	CHARLES F HAYDEN SCHOOL- BOYS & GIRLS VILLAGE	41.249122087	-73.077643769
129	CHASE COLLEGIATE SCHOOL	41.545721106	-73.06711845
130	CHOATE ROSEMARY HALL	41.454633023	-72.80957681
131	ELIZABETH IVES SCHOOL FOR SPECIAL CHILDREN	41.387587201	-72.874368881
132	FOOTE SCHOOL	41.327189567	-72.920546716
133	HERITAGE BAPTIST ACADEMY	41.450233788	-72.82373361
134	HOLY CROSS HIGH SCHOOL	41.53115312	-73.064942643
135	LEILA DAY NURSERIES, INC.	41.324670799	-72.912123725
136	MERCY HIGH SCHOOL	41.532375217	-72.675816593
137	MILFORD CHRISTIAN ACADEMY	41.226624489	-73.013016663
138	NORTHWEST CHILDRENS CENTER	41.606622592	-72.696150329
139	SACRED HEART ACADEMY	41.368903235	-72.931955449
140	SACRED HEART HIGH SCHOOL	41.551724633	-73.038009375
141	SACRED HEART MANOR NURSERY & KINDERGARTEN	41.366853583	-72.931570232
142	SHORELINE SCHOOL OF MONTESSORI	41.304393888	-72.755441603
143	ST FRANCIS-ST HEDWIG SCHOOL	41.492592738	-73.055083363
144	ST JOHN SCHOOL	41.291643811	-72.378116445
145	ST JOSEPH SCHOOL	41.538682945	-72.808078153
146	ST MARTIN DE PORRES ACADEMY	41.298025268	-72.931337138
147	ST MARY	41.553689741	-73.035778737
148	ST MARY & ST MICHAEL SCHOOL	41.327462659	-73.089141925
149	ST STEPHEN SCHOOL	41.346113117	-72.902760884
150	ST THOMAS'S DAY SCHOOL	41.332082457	-72.913688518
151	THE CHESHIRE ACADEMY	41.500493422	-72.899014719
152	THE CHILDREN'S TREE MONTESSORI SCHOOL	41.318469792	-72.359490133
153	THE INDEPENDENT DAY SCHOOL	41.508380953	-72.687557394
154	WESTOVER SCHOOL	41.526925549	-73.12331152
155	WHITNEY HALL SCHOOL	41.351640688	-72.913919504
156	XAVIER HIGH SCHOOL	41.532633081	-72.6206306
157	SOLID ROCK CHRISTIAN ACADEMY	30.085337678	-94.104515625
158	SOUTHWEST CHRISTIAN SCHOOL-PREP CAMPUS	32.642427	-97.445036
159	SPRINGBOARD ACADEMICS	33.55861	-101.844128076
160	THE LEARNING CENTER	32.793311	-96.722907
161	ACADEMY OF THE HOLY FAMILY	41.615849346	-72.08832446
162	COLD SPRING SCHOOL	41.303860478	-72.902690242
163	HOPKINS SCHOOL	41.317619132	-72.973118281
164	MONTESSORI DISCOVERY SCHOOL	41.529759221	-72.102927444
165	NORTH STONINGTON CHRISTIAN ACADEMY	41.428142139	-71.843782084
166	NOTRE DAME HIGH SCHOOL	41.287895494	-72.960881627
167	OUR LADY OF VICTORY SCHOOL	41.253675586	-72.973701068
168	PINE POINT SCHOOL	41.366342142	-71.894633778
169	SACRED HEART SCHOOL	41.567555029	-72.054950509
170	SOLOMON SCHECHTER ACADEMY	41.327272417	-72.101704181
171	ST BERNARD SCHOOL	41.469494468	-72.099322619
172	ST JOSEPH ELEMENTARY SCHOOL	41.615758497	-72.089241287
173	ST JOSEPH SCHOOL	41.344491016	-72.106310609
174	ST LAWRENCE SCHOOL	41.274299795	-72.945787421
175	ST MARY SCHOOL	41.226343745	-73.047781573
176	ST MICHAEL SCHOOL	41.380431145	-71.837199386
177	ST PATRICK CATHEDRAL SCHOOL	41.531484448	-72.077432557
178	ST RITA SCHOOL	41.357892772	-72.9093985
179	STEDFAST CHRISTIAN ACADEMY	41.34601116	-72.047152906
180	THE COUNTRY SCHOOL	41.325135318	-72.635356797
181	THE FOUNDATION SCHOOL ORANGE	41.288714115	-73.0532625
182	WILLIAMS SCHOOL	41.376303708	-72.103565796
183	UNIVERSITY PARK ACADEMY	29.673551997	-95.332990261
184	UPWARD HOPE ACADEMY	29.264883256	-94.838790292
185	ALPINE ACADEMY	40.603804284	-112.273208251
186	ARCHES ACADEMY	40.291771353	-111.68651152
187	BENNION LEARNING CENTER	40.638352893	-111.970588138
188	ELIZABETH ACADEMY	40.708585047	-111.830453123
189	INTERMOUNTAIN SUMMIT SCHOOL	41.183125755	-111.950509729
190	LIFE MISSSION DISCOVERY SCHOOL	37.869443694	-109.342115922
191	MERIDIAN SCHOOL	40.167510219	-111.63581765
192	BURR & BURTON ACADEMY	43.163763499	-73.07740383
193	CONNECTICUT RIVER ACADEMY	43.985630454	-72.121773527
194	FAY HONEY KNOPP MEMORIAL SCHOOL	43.595564214	-72.977155214
195	IMAGINE SCHOOL HOUSE INC	44.690051321	-72.94786276
196	LAMOILLE VALLEY LEARNING TOGETHER	44.56195	-72.594231
197	MANCHESTER VILLAGE SCHOOL	43.167499598	-73.06766176
198	OAK MEADOW SCHOOL	42.85308283	-72.558832259
199	VILLAGE SCHOOL OF NO.BENNINGTON	42.92996	-73.244211
200	METTA MONTESSORI SCHOOL	38.8625	-77.085181
201	MONTESSORI SCHOOL OF CHEVY CHASE	38.95927746	-77.072759127
202	SMITHSONIAN EARLY ENRICHMENT CENTER	38.892	-76.99264
203	ROOTS AND WINGS ACADEMY	43.63524	-73.299841
204	THE DOWNTOWN SCHOOL	43.1794	-73.051391
205	ABUNDANT LIFE MINISTRIES	36.81245	-76.20366187
206	ACCOTINK ACADEMY PRESCHOOL	38.78261	-77.234281
